71407371449cfe87,"== The real reason detainees should be left in Gitmo ==    About 30 detainees left in Gitmo are the cause of 9/11 and leaders of various mischievous acts. These leaders are so dangerus that nobody on Earth will take them and when Congress realizes that they are to be released in a neighborhood near you? Well, it's a crazy situation. Teh anti-Gitmo can say bullshit all day long, but it ends up whose going to take these gifted (extremely talented/not dumb) evil-doers to America. If congress terrorists them in America, and a skyscraper falls or chemical bombs enter a stadium of some kind. It's bad enough that they sneak in with the illegal immigrates? Don't we have like 40 million illegals in USA already complete with 12 sanctuary cities that alienate the ICE Police. The Democrats want them to kill Americans....more gloom and doom to speak of....democrats love that kind of stuff.  The same party that complains about energy expenses, but won't build nuclear power plants like the Chinese do? And the Chinese are left on the political scale too! 1.7 billion people cost big time power resources....whoops I did it again.",0,0,0,0,0,0
e00898c2a1f1a2f8,Cool. This can probably be expanded to more than a single sentence about doors because his exposition on idiotic door designs is fairly widely cited. ~,-1,-1,-1,-1,-1,-1
0ea7182cf857ca91,and by the way you all stink!!,-1,-1,-1,-1,-1,-1
21a2b7afda64fb0b,"""    :Who says I'm doing it for points? I'm doing it because I'm trying to straighten everything up, plus I'm bored and I hardly ever make anything as minor. I don't see what the big deal is. The MoS says I shouldn't. So that would be breaking a rule. I'll think about it. """,0,0,0,0,0,0
9585c6f38b185059,", and positions its header,",0,0,0,0,0,0
6d79435a42471b86,"""    == Conservapedia ==    Conservapedia can sometimes be a valuable resource, but overall I agree with your assessment that it represents a particular narrow range of viewpoints rather than mainstream American conservatism.  I also suspect you're right that nearly no serious intellectuals do business there.  When Conservapedia first launched, I predicted they would close down within 6 months.  They're still around, to my dismay, and their continued existence helps feed the increasingly widespread belief not that Wikipedia is too liberal but that conservatives cannot win fair arguments and must therefore depend on a heavily restricted and censored medium to survive.    / """,0,0,0,0,0,0
984a27eae10fa049,"*Yes my friend, i understand perfectly, VITÓRIA DE SETÚBAL is nicer to the view, indeed. I just think it should not be done in INFOBOX, because it gets too big, just that, only in storyline. And i just saw this now, in Tarik Sektioui, which i think is wrong too: WP guidelines say birthplace should be removed from birthdate, but not completely as you done (totally removing it from story), it should be placed elsewhere.    Tell me your views please, i will try to argue with your inputs...Later! VASCO -",0,0,0,0,0,0
81ef1c053679fe2c,"Thank you for experimenting with the page Hurricane Mitch on Wikipedia. Your test worked, and has been reverted or removed. Please use the sandbox for any other tests you want to do. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.",-1,-1,-1,-1,-1,-1
66c00d7246dc1f99,FUCK YOU YOU LITTLE PEICE OF FUCKING SHIT!!!,-1,-1,-1,-1,-1,-1
caff16347f869f94,"== Game Formats not clear ==    Article needs a better infobox, or clearer discussion of formats. It is not at all easy to see which formats the games have been released on.",-1,-1,-1,-1,-1,-1
d2faf6ddb2edb5d6,::Here is another source: Melissa Sue Halverson (2007) Native American Beliefs and Medical Treatments During the Smallpox Epidemics: an Evolution. This might help.,-1,-1,-1,-1,-1,-1
b024d12f14e4e32b,""":::(ec) @Masem, Thanks for concisely writing it out. I believe this is where our core disagreement is. You state that """"That makes Serebii.net's claims unreliable, and anyone sourcing Serebii as an unreliable single source"""". Can you back up this second part of your claim with any Wikipedia policy? I have read WP:V, but I am not seeing it there, unless I missed it. All I have read makes me believe that the information can still be added to the article, because that GameSpot article is reliable due to the normal means (editorial oversight, etc.) ''''''['''''']    """,0,0,0,0,0,0
16f36e897245967b,"""   ::::I am fully aware of BC/Delta's record, his issues, and his arbcom cases. Furthermore, I'm not a """"kid"""" as your edit summary suggests. I'm 21, will be 22 in three weeks, and a college graduate. My account has been registered since January 2009; I have only become active in the past 6 months. I am not disagreeing in any way with your characterization of the situation. I am taking issue with your choice of language. I'm sorry if I came off as harsh.  """,-1,-1,-1,-1,-1,-1
8dcab935cc5be072,Stop feeding the trolls. That Jorge Alo guy is talking nothing but nonsense and you're falling on his trap. Let the matter rest and move on.,0,0,0,0,0,0
35a59271a9239563,"There is no discrepancy. Esperanto is the most spoken logical auxiliary language and Interlingua is the most spoken natural-seeming auxiliary language. It's similar to saying, ABC is the fastest 100cc motorbike and DEF is the fastest 200cc bike in the world.     Both Esperanto and Interlingua just happen to belong to different categories and both of them are leaders in their own right.    Posted on 15 August 2010, 17:55 Un Alien",-1,-1,-1,-1,-1,-1
d5e0e79d1c24a81e,"""} solid; padding:12px;"""">|}}   {{#ifeq:true|true|==|'''}}Hello from {{#ifeq:true|true|==|'''}}   {{#switch:true|true=|}}   Hello, Nickbarnowski, and [[Wikipedia:Welcoming committee/Welcome to Wikipedia|welcome to Wikipedia!]] Thank you for . I hope you like the place and decide to stay. Here are some pages that you might find helpful:   {{#switch:{{{icons}}}|true=:   '''|*}}[[Wikipedia:Introduction|Introduction]]{{#if:{{{icons|}}}|'''|}}   {{#switch:{{{icons}}}|true=: '''5'''   '''|*}}[[Wikipedia:Five pillars|The five pillars of Wikipedia]]{{#if:{{{icons|}}}|'''|}}   {{#switch:{{{icons}}}|true=:   '''|*}}[[Wikipedia:How to edit a page|How to edit a page]]{{#if:{{{icons|}}}|'''|}}   {{#switch:{{{icons}}}|true=:   '''|*}}[[Help:Contents|Help]]{{#if:{{{icons|}}}|'''|}}   {{#switch:{{{icons}}}|true=:   '''|*}}[[Wikipedia:Article development|How to write a great article]]{{#if:{{{icons|}}}|'''|}}   {{#switch:{{{icons}}}|true=:   '''|*}}[[Wikipedia:Manual of Style|Manual of Style]]{{#if:{{{icons|}}}|'''|}}   {{#switch:{{{anon|}}}|true=I would recommend that you get a username by clicking '''[{{fullurl:Special:Userlogin|type=signup}} sign up]'''. You don't have to [[Special:Userlogin|log in]] to read or edit articles on Wikipedia, but creating an account is quick, free and non-intrusive, requires no personal information, and has many [[Wikipedia:Why create an account?|benefits]]. As a registered user, you gain the use of an [[Wikipedia:Username#Inappropriate usernames|appropriate]] [[Wikipedia:Username|username]] of your choice, a personal [[Wikipedia:Watchlist|watchlist]] to which you can add articles that interest you, the ability to [[Help:Starting a new page|start new pages]], and much more. Also, your [[IP address]], Nickbarnowski, will no longer be visible to other users.|}}   Please [[Wikipedia:Sign your posts on talk pages|sign your name]] on talk pages using four tildes (~~~~); this will automatically produce your name and the date. If you need help, check out [[Wikipedia:Questions]], ask me on my talk page, or place {{helpme}} on your talk page and ask your question there.{{#if:{{{1|}}}|{{{1}}}| }}{{#if:{{{nosig|}}}||Again, welcome! ~ •  }}{{#if:{{{border|}}}||}}""",0,0,0,0,0,0
969c29b9204edf01,"::::The 1,153,351 Americans in the USA is also counting the Portuguese AND descendants there. Because if there are 1,153,351 Portuguese born people in the USA, it's like 11% of Portugal's population is living in the USA, which is also nonsense.    But, if we also count the Portuguese and their descendants in Brazil, we will not have that number, and it is explained in the article why.",0,0,0,0,0,0
c9268caea60de471,"""    === Other ===   Any other remarks should be made here. |}} """,-1,-1,-1,-1,-1,-1
515f59a0cc196339,"""    == Christiaan Lindemans ==   Hi, I'm a bit confused about this sentence: """"In February 1944 his younger brother Henk was arrested in Rotterdam and held captive at La Hague, awaiting execution for helping English people escaping the province of Holland"""". Are you sure he was held in La Hague, which is in France? Second, the province of Holland ceased to exist in 1840. Do you perhaps mean South Holland, or would simply the Netherlands suffice?   """,0,0,0,0,0,0
8f058cc0f696fd55,"== Бобанизам ==    Бобанизам е религија во која веруваат голем дел од населението на јужниот и северниот пол.Бобанизамот е религија во која е верува дека цовекот настанал од БОБАНИЗИ кој се доелие на земјата од Марс или друга планети. На земјата поради подобри услови за преживување. Како минувале годините така се менувал ликот на луѓето. Кога се доселиле вонемјаните на земјата биле мнобу ниски и мали,тие почнале да играат кошарка и се извишиле и така го добиле сегашниот изглед.",-1,-1,-1,-1,-1,-1
b42f5cf044473379,== FAT ==    bảng định vị các tệp trong máy tính,0,0,0,0,0,0
6c39f818006c0a39,"""   :::::At least neither Cameron nor Brown has been reported as referring to her as a """"bigoted woman"""".      """,0,0,0,0,0,0
9fec3e74c2f9a9bc,"""    == On Hillary's rape claim ==    There is a source for that:    """"The Truth About Hillary: Wha She Knew, When She Knew It, And How Far She'll Go To Become President"""" by Edward Klein.    """"I'm going back to my cottage to rape my wife,"""" the writer quotes Bill Clinton as saying during a Bermuda getaway in 1979.    Will that source be considered OK? My guess is that it won't be.    Also what is Ann Coulter doing on a list related to the Christian Right? Have you ever read her books? How could you edit that correction?     You tell me it's not about """"liberal/conservative"""", what is it about then? Just lying about people the way it happened a few months ago?""",0,0,0,0,0,0
fafd58eaba99464d,", 12 December 2015 (UTC) +   23:51",-1,-1,-1,-1,-1,-1
9b54fd3c38ae35d3,"Dear Mr.Beetstra,   can you please delete the link report (http://meta.wikimedia.org/wiki/User:COIBot/LinkReports/hotspot-online.at) because there was a    misunderstanding about website links. Last year I was a new user on wikipedia. Thank very much for your efforts.     Bests Regards   Whotspot",0,0,0,0,0,0
ef4b0f506b087c5c,:I still don't agree that it should be included in an encyclopedia. Please see the guidelines for notability and reliable sources.,-1,-1,-1,-1,-1,-1
7e54a19509a46bcf,"(outdent) , thank you for the link. In the specific area of the section in question, here're my thoughts on the changes:   * Some seem uncontroversial (with references that seem to support the statements)   * Some of the language seems a bit promotional, and not really needed.   The challenge will be to update it in a neutral way, and not by just reverting edits. Perhaps the best approach would be to try a re-write here and get consensus.",0,0,0,0,0,0
14c596ec2c31e279,==Mother's name==   I notice the article does not say who his mother was. If her identity is known the name should be added to the article.,-1,-1,-1,-1,-1,-1
330f57f32e6821f1,== Thanks ==    Thanks for fixing my stupid typo!,0,0,0,0,0,0
d6aaeda1682e02ea,"Or if it's from Obergefell, clarify where in the decision it says this.",0,0,0,0,0,0
d5a06a465935a5fc,"::::::::::::::::::::::::::::: It says that Hispanics were mis-classified, not whites. It is inconsequential to the admixture of whites, if hispanics are misclassified.",-1,-1,-1,-1,-1,-1
aa138a4864befcc2,"""—Preceding unsigned comment added by    """,-1,-1,-1,-1,-1,-1
c2253d7d9892700f,"== 9/11 Septembar 11th ==    That was not vandalisim, it is a true conspiracy held true by the GNAA (Gay Nigger Association of America) Please revert YOUR vandalisim of this article.",-1,-1,-1,-1,-1,-1
fb5437d24c1431bd,:this time it won't happen again. -,-1,-1,-1,-1,-1,-1
efe9f21b576e7aa5,"I believe the above comments made by an obvious ACCA apologist make my case much better than I ever could.  For someone to actually believe that a denomination would be much better if a church exercised total control over its members is frightening.  The situations you mention such as members owning televisions, sisters cutting their hair and wearing pants also make my case.  These 'sins' (in the eyes of old order ACCA) have deeply divided the church.  The fact these acts are even considered to be sinful speak volumes to the erroneous beliefs of the ACCA. Other 'sins' include sports (participation and as a spectator), movies (even G-rated), attending another church (my parents would not even attend their grandsons' graduation recognitions), and wearing jewelry.  Some are still clinging to these beliefs to the point where the elder of the Lamar, Missouri church would not allow the youth there to congregate with youth from certain other ACCA churches because he believed they would be led astray.  I have attended a number of churches of other denominations.  At each church I was warmly welcomed and invited to worship as I saw fit.  What a contrast this was in comparison to growing up in the ACCA.  All I heard was what was not allowed and straying from the teachings of the church leadership would lead to an eternity in hell.  The good news is the ACCA is losing membership in droves as their extremist views are challenged by members willing to read the bible and make decisions regarding their salvation on their own instead of relying on the flawed teachings of man.  I am not tech savvy enough to figure out how to sign this page, but I do not want to appear to be hiding behind anonymity.  My name is Bubs Hohulin and I am from Lamar, Missouri.",-1,-1,-1,-1,-1,-1
b0d1e50dd29fa7b9,==You're a whore==   Why don't you fuck off and die?,-1,-1,-1,-1,-1,-1
b44e22f4c79f3350,"""    == Moroccon Medal Pic ==    Hi there.  I think we should consider undeleting Image:OrderOA.jpg.  It was at least two years ago that I uploaded it, but this was a photograph of an original medal which an employee of the National Archives took and released to public domain.  I'm fully prepared to give you an address to verify this and even the direct phone number of the employee who took it.  This is not a stolen picture, it is legit and also very rare since very few of these medals exist anymore.  I think this one can safely be put back on Wikipedia. -    :These two as well fall under the same category.  Pictures sent directly to me by an employee of the National Archives.   :Image:LuxCDGcit.jpg, Image:LuxWarCross.jpg -    ::This one too: Image:WherHonClasp.jpg.  Different employee, but again a picture straight from an original taken at the National Archives. -    ::Rather than an address/phone number, it would be better to have the employee send an e-mail from his official e-mail address - this can be filed at OTRS. Or you can forward the e-mail you recieved, complete with headers - this is what I normally do with image permissions.      :::He's right.  An email from NARA to OTRS confirming that s/he took the image in the course of his/her duties or otherwise releases it would be best.  And that would solve the problem, as long as the underlying medal is also in the PD.   ||  """,0,0,0,0,0,0
ddfe05741208e5d9,"Please stop. If you continue to vandalize pages, as you have deleted contents in Queens College,Hong Kong, you will be blocked from editing Wikipedia.",-1,-1,-1,-1,-1,-1
d7784e1dc9e2bc79,"Yes, what the hell is up with 3.8-3.10??",-1,-1,-1,-1,-1,-1
68090a592929bc86,:What the hell?.. ha ha....,0,0,0,0,0,0
1a2f865b31236a16,::Hmm... I  understand BLP  policy  only  too  well -  I  helped craft  some of it. That's why  I  was surprised at  this adamant 'bindingly obvious' comment made  with  the aspertion  that  the GA may have been incorrectly awarded. There is also  an admin  who  seems to  support those strange policy  claims  too. I  don't  think there is any  danger of me (or you  for that  matter) being  larfed out  of the building  ;),0,0,0,0,0,0
a97292a493503ed0,"==Looking for help==   Hello:   My name is Ivan Robaina Bychko, I am 18 years old, I live in Cuba and I am very interested in the culture and history of your country. I am working on a summer school project about your country and in the expansion of the article of your nation in the Spanish Wikipedia. I would like very much if you could help me a little bit. So, please, if you are able to help me please write to me at my e-mail address: nayesda.daria@medired.scu.sld.cu   I apologize for my bad English and thank you very much.",0,0,0,0,0,0
5e5ad80b45c4c90f,OH SHUT THE FUCK UP YOU ASSHOLE.,1,0,1,0,1,0
d113baae96671cbd,""":::::Why now?  Because the new information, revealed since Bert Schneider's death, is highly relevant to the topic of this article.  In a recent edit note you wrote """"discuss on talk page rather than simply reverting please.""""  YOU are the one who has instigated a wholesale revert of sourced information, not me!  I note this is a habit of yours, on this and other articles.  And no amount of reason ever persuades you 1./ a source is good enough  or 2./ the emphasis is not undue, if you don't want the information included in the article.  Much of the information in the paragraph you eliminate, by the way, has existed in the article for months.  You asked me """"Why now?"""" so I will ask the same question.  """"Why now do you seek to eliminate anything and everything Kate Coleman writes about in the Salon piece?""""  """"Why does it seem so incredible to you that Schneider bought Newton a house and a car and paid more than $1 million in his legal fees (delaying, or preventing, Newton's being held accountable for his crimes I might add) when other sources say the same thing?  Why do you eliminate the highly probable claim (not """"exceptional"""" at all) that Schneider paid for Newton's funeral?  All this is nonsense, just as your blinding stubborness on other articles (e.g. """"White privilege"""") has been nonsense.        """,-1,-1,-1,-1,-1,-1
d4b46c733d036259,== Some information for this article is available in references used in MRTS article. ==    Some information for this article is available in references used in MRTS article.    Editors of this article can use the information.,0,0,0,0,0,0
7fdec151c1a6bac9,"== Redirects for deletion ==    Hi. I saw that you are active on WP:RfD which has a bit of a backlog. I'd like to help out (I'm also an admin), but I am a bit confused by the policy (it does seem an awful lot for just deleting redirects). Could you please answer to my questions at the bottom of the talk page? By the way, I very much like the first sentence of  (I've no time now to read the whole page; it's way beyond bedtime). Cheers,",-1,-1,-1,-1,-1,-1
f7f816549f0dda78,"""    == Renaming Burlington Bay ==    A copy and paste move is not the preferred method of renaming a page. It would have to be moved over a redirect. — """,-1,-1,-1,-1,-1,-1
91089908c97dc713,Todos me dicen eso. pero si es verdad. Arcangel11,-1,-1,-1,-1,-1,-1
479da70a1b6eb1ec,"""    :::I could, but then...it sounds rather childish to me, don't you think? There are plenty of other wiki character pages, where the term """"archenemy"""" and """"nemesis"""" or whatever is tossed around (see for instance, the Atom villain Chronos) and there are no sources whatsoever to back them up. Why don't you go and remove them, since you're passionate about making sure information of dubious quality and reliability get off wikipedia pages?     FYI, I added the IGN entry about Dark Phoenix being ranked as a top 10 comic book villain on the Jean Grey page complete with the citation months ago, and so far no one has bothered to remove or reverse it. Mind you, Jean or at least one of her personas being branded a """"villain"""" is an unpopular sentiment. Maybe because people like the fact that I actually cite what I write?   """,0,0,0,0,0,0
1a5a9602a5e8cf98,REDIRECT Talk:Neanderthal extinction/Archive 1,0,0,0,0,0,0
7bbeea2d32ff3d88,== Придурок ==    Ты свинья!!!! ( you is pig ),-1,-1,-1,-1,-1,-1
13915e666def5f26,".    Criteria #3 It is tru, I did indeed fuck your mom, shes pregnant with my baby",-1,-1,-1,-1,-1,-1
71c6ea350e98bbce,"I also wouldn't support such a change, because the way it is written and the way the phrase is used requires a preponderance of sources.",0,0,0,0,0,0
b75c4314b81e295e,"""   :::It's sort of to encourage expansion to include details about his early life including his personal life, education, and early career work—anything up until his work at Mozilla. Not specifically his childhood, though it might include it. It could be changed to """"Early life and career"""" to make the time frame more explicit.   """,0,0,0,0,0,0
d3fc59308880f820,"""   :::: The Measures of ancient Mesopotamia, Egypt, Greece, Rome and Europe are anything but original research. The original source was Mesopotamia, Egypt copied those converting a sexigesimal to a septenary system. The Greeks copied from both sources and the Romans and Persians from all of the above. Body measures were combined with agricultural measures and standards of geometry, navigation and units of time to give definitions of landowners property in squares of the units of length to define areas and cubes of the units of length to define volumes. The units of a minute of march, and hour of march, an itrw or river measure and a days march or a days sail are all related to measures of various fractions and multiples of miles and degrees. Klein """"The History of Measurement"""" is a useful source and for Egyptian measures Gardiner and Gillings.  """,-1,-1,-1,-1,-1,-1
37e296e95f016c55,"Welcome to Wikipedia! We welcome your help to create new content, but your recent additions (such as Ken Kimpel) are considered nonsense. Please refrain from creating nonsense articles. If you want to test things out, edit the sandbox instead. Take a look at the welcome page if you would like to learn more about contributing to our encyclopedia.",0,0,0,0,0,0
51302766be87346b,"chill with that or ill get mike tyson on your ass, and lock your kids in a room with a michael jackspon (boyas only) and girls with ted bundy)",-1,-1,-1,-1,-1,-1
995f53d432e11ad0,teh fagget sport of rugby is played in a homo country of England.,-1,-1,-1,-1,-1,-1
b11fbadc0b534792,The sunni viewpoint is akin to a Jew becoming a Nazi after escaping a concentration in WW2 [ie: yea frickin right].,-1,-1,-1,-1,-1,-1
4cc80f2f115bf592,Can I experiment with you?  Would you like to taste my arse?,-1,-1,-1,-1,-1,-1
d25c26a2b5877903,== Satanist? ==    What's with the hand gestures at 1:40?    http://www.youtube.com/watch?v=DkFfGJxdvVs,-1,-1,-1,-1,-1,-1
0db1fdc091fd3c2b,". I have changed the content on McCarthyism on the RSS page, please let me know your suggestions. Thanks",-1,-1,-1,-1,-1,-1
2b2556ccd826340b,""" —Preceding unsigned comment added by   •  15:22, 27 June 2010""",-1,-1,-1,-1,-1,-1
210041970ae2d1bd,"""#15 is a rubbish source.-  """,0,0,0,0,0,0
88d915818e3be2f8,why was this album called in spanish!!_,-1,-1,-1,-1,-1,-1
b09caf19e3c55193,"A cube is space efficient,thus I thought that these things are each a different reality, interconnected by conduits, your wormholes.",-1,-1,-1,-1,-1,-1
48d4768e28b6fe41,== Image:Ford Five Hundred Sedan.jpg ==    Why is Image:Ford Five Hundred Sedan.jpg a candidate for speedy deletion?,-1,-1,-1,-1,-1,-1
8a2a70edc2599c4e,":Yes, so, what's your point? —  |",-1,-1,-1,-1,-1,-1
42b6b3c3d58b4451,"""    == Charts ==    {| class=""""wikitable sortable plainrowheaders""""   |-   !scope=""""col""""|Chart (2014–2015)   !scope=""""col""""|   |-    |-   |}    -  """,0,0,0,0,0,0
bba3501a242d3a0e,"""   :Holy shit man! It's over isn't it? That's super cool! Thanks Becks and yeah I think I'm back here again sort of. Does this mean I'm free to edit as I please?   """,-1,-1,-1,-1,-1,-1
0ed19cb4243f2a7b,butthead google butthead,-1,-1,-1,-1,-1,-1
2665761f71059b10,"""    :Hi Annie, welcome to Wikipedia, if you are going to help improve our coverage of the music scene it would really help if you would read wp:BAND and make clear in your articles how these subjects meet our guidelines. Thanks. ''Chequers'' """,0,0,0,0,0,0
0341271c4b0e1241,"""   ::::I'm glad that you're really not planning to introduce the Inquisition to Wikipedia - aren't some people silly in what they take so seriously? Regarding your mates threatening to block me, I think we both know you're telling porkies there.     """,0,0,0,0,0,0
20baf7336f3376a4,==measurement==   The lengths of the bows at the start of the article are from the Mary Rose http://www.maryrose.org/ship/bows1.htm and are quoted in metric measurements. For consistency it should be metric first through out the article. Many English speaking people only learn the metric system at school as there are no imperial measurements  their country. Do people in the US not learn the metric system at school? There is no point putting in Newtons on ever measurement as anyone who is interested in that can calculate them providing the first one is left in place all it does is add clutter to the article.,-1,-1,-1,-1,-1,-1
4b2f602c1bfcf5e5,Hi everybody my name is Raplh I was rapped by an alien last year and he stuck his finger in my shwinkter and i started to cry and he said damn essay fuck up homels,-1,-1,-1,-1,-1,-1
52f518a220d19701,""", 5 September 2015 (UTC)    ::, I read the section you mentioned. Neither the CDC, UCR, or NCVS definitions are the legal definition of rape. Each study used its own definition, which is typical of studies and surveys. The actual definition varies on the state or the country, as noted in the International Law. Given that no other page on sexual violence limits the discussion of the topic based on the legal definition, I fail to see this page should be the exception.     ::The previous version misrepresented the findings of the CDC study by obscuring the rates of female-perpetrated sexual violence men reported. Given that the rest of the section refers to """"sexual victimization,"""" """"sexual abuse,"""" and """"sexual encounters,"""" I see no reason not to mention the other findings. None of the other sections on this page, or any other sexual violence page, limits what statistics can be included based on what definition is used by a given study.     ::The sections should be written from a neutral point of view, so if person takes issue with acknowledging information because it does not coincide with their personal views, such a person should rethink editing Wikipedia. Various experts are clear that due to under-reporting we cannot be certain of the frequency of female-on-male sexual violence. As a result, it is inaccurate to make any concrete claims about the frequency or rarity of any victims or rapists. It also undermines the intent of this section, which is to inform people about all the findings.   23:16""",0,0,0,0,0,0
a0443526a69b94d2,"""       == L. M. Montgomery autobiography ==   With regards to """"The Alpine Path,"""" the sources I found  including an online scan of the book  say it was published in 1974.     Internet Archive: The Alpine Path   Google Books: Reference page in book about Canadian fiction     """,0,0,0,0,0,0
260efc68e712b504,":In which case the deleted article Funny mann, stating He is a funny man that has created Factory and the Hacienda. And, by the way, his wife is great. must have been created by Automatic writing rather than by you. Regards,  ",0,0,0,0,0,0
213ce702b21dadd7,"==Autobiography==   *If you wish to write an intro about yourself please use your userspace ( edit here: ), instead of the main article space.",-1,-1,-1,-1,-1,-1
371d30f9dafc57dd,. Siempre se burla de Filemamón.,-1,-1,-1,-1,-1,-1
7473b6dcce54ec92,":: And to further muddy the waters, Google patents shows a third name: HENRY S. PAEMELBE, though it's not clear where that came from.  Another possibility, rather than a misspelling, is a legal name change between the patent filing and the later court filing.  More research needed.",0,0,0,0,0,0
b79058681d05fa84,"* Fred Degazon, Dominica, president, 1913, genealogies point to him dying in 2008",-1,-1,-1,-1,-1,-1
33e0032787d20956,":::As an admin, I agree with Blackworm that the attempts by  to close this requested move are troublesome. At a minimum such a close should be performed by an uninvolved person, and an IP with little or no track record won't be able to show they are uninvolved. (Others may be concerned that the IP is the sock of an editor who has strong views in the debate).",-1,-1,-1,-1,-1,-1
78d456a80d2e43de,"==Setting it right==   I don't get it. If you know that some portions of this article appear to be biased, why don't you set them right or snip them? Just common sense I guess.",-1,-1,-1,-1,-1,-1
26626df52615601e,"""    ===Removal of Blink-182 from Culture section===   Two reasons: (1) Are we going to list every popular band that was formed in or near San Diego? If so, shouldn't we do that to the New York and Los Angeles article as well? (2) Neither Rancho Bernardo nor Poway is in the city of San Diego (though they are both in San Diego County).  """,0,0,0,0,0,0
9e0f5617011a26d8,this above is all hindu propaganda. sikh are definitely discriminated against in india they are kill in fake encounters. that is a long history of hindus going after sikhs to raise there history and heritage. this is just another attempt,-1,-1,-1,-1,-1,-1
